case,activity,timestamp
1,Coarse Screens,2024-01-01 08:00:00
1,Fine Screens,2024-01-01 09:00:00
1,Primary Clarifiers,2024-01-01 10:00:00
1,Sludge Grinder,2024-01-01 11:00:00
1,Blend Tank,2024-01-01 12:00:00
1,Anaerobic Digester,2024-01-01 13:00:00
2,Coarse Screens,2024-01-01 08:00:00
2,Fine Screens,2024-01-01 09:00:00
2,Primary Clarifiers,2024-01-01 10:00:00
2,Sludge Grinder,2024-01-01 11:00:00
2,Blend Tank,2024-01-01 12:00:00
2,Anaerobic Digester,2024-01-01 13:00:00
3,Coarse Screens,2024-01-01 08:00:00
3,Fine Screens,2024-01-01 09:00:00
3,Primary Clarifiers,2024-01-01 10:00:00
3,Sludge Grinder,2024-01-01 11:00:00
3,Blend Tank,2024-01-01 12:00:00
3,Anaerobic Digester,2024-01-01 13:00:00
4,Coarse Screens,2024-01-01 08:00:00
4,Fine Screens,2024-01-01 09:00:00
4,Primary Clarifiers,2024-01-01 10:00:00
4,Sludge Grinder,2024-01-01 11:00:00
4,Blend Tank,2024-01-01 12:00:00
4,Anaerobic Digester,2024-01-01 13:00:00
5,Coarse Screens,2024-01-01 08:00:00
5,Fine Screens,2024-01-01 09:00:00
5,Primary Clarifiers,2024-01-01 10:00:00
5,Sludge Grinder,2024-01-01 11:00:00
5,Blend Tank,2024-01-01 12:00:00
5,Anaerobic Digester,2024-01-01 13:00:00
6,Coarse Screens,2024-01-01 08:00:00
6,Fine Screens,2024-01-01 09:00:00
6,Primary Clarifiers,2024-01-01 10:00:00
6,Sludge Grinder,2024-01-01 11:00:00
6,Blend Tank,2024-01-01 12:00:00
6,Anaerobic Digester,2024-01-01 13:00:00
7,Coarse Screens,2024-01-01 08:00:00
7,Fine Screens,2024-01-01 09:00:00
7,Primary Clarifiers,2024-01-01 10:00:00
7,Sludge Grinder,2024-01-01 11:00:00
7,Blend Tank,2024-01-01 12:00:00
7,Anaerobic Digester,2024-01-01 13:00:00
8,Coarse Screens,2024-01-01 08:00:00
8,Fine Screens,2024-01-01 09:00:00
8,Primary Clarifiers,2024-01-01 10:00:00
8,Sludge Grinder,2024-01-01 11:00:00
8,Blend Tank,2024-01-01 12:00:00
8,Anaerobic Digester,2024-01-01 13:00:00
9,Coarse Screens,2024-01-01 08:00:00
9,Fine Screens,2024-01-01 09:00:00
9,Primary Clarifiers,2024-01-01 10:00:00
9,Sludge Grinder,2024-01-01 11:00:00
9,Blend Tank,2024-01-01 12:00:00
9,Anaerobic Digester,2024-01-01 13:00:00
10,Coarse Screens,2024-01-01 08:00:00
10,Fine Screens,2024-01-01 09:00:00
10,Primary Clarifiers,2024-01-01 10:00:00
10,Sludge Grinder,2024-01-01 11:00:00
10,Blend Tank,2024-01-01 12:00:00
10,Anaerobic Digester,2024-01-01 13:00:00
11,Coarse Screens,2024-01-01 08:00:00
11,Fine Screens,2024-01-01 09:00:00
11,Primary Clarifiers,2024-01-01 10:00:00
11,Sludge Grinder,2024-01-01 11:00:00
11,Blend Tank,2024-01-01 12:00:00
11,Anaerobic Digester,2024-01-01 13:00:00
12,Coarse Screens,2024-01-01 08:00:00
12,Fine Screens,2024-01-01 09:00:00
12,Primary Clarifiers,2024-01-01 10:00:00
12,Sludge Grinder,2024-01-01 11:00:00
12,Blend Tank,2024-01-01 12:00:00
12,Anaerobic Digester,2024-01-01 13:00:00
13,Coarse Screens,2024-01-01 08:00:00
13,Fine Screens,2024-01-01 09:00:00
13,Primary Clarifiers,2024-01-01 10:00:00
13,Sludge Grinder,2024-01-01 11:00:00
13,Blend Tank,2024-01-01 12:00:00
13,Anaerobic Digester,2024-01-01 13:00:00
14,Coarse Screens,2024-01-01 08:00:00
14,Fine Screens,2024-01-01 09:00:00
14,Primary Clarifiers,2024-01-01 10:00:00
14,Sludge Grinder,2024-01-01 11:00:00
14,Blend Tank,2024-01-01 12:00:00
14,Anaerobic Digester,2024-01-01 13:00:00
15,Coarse Screens,2024-01-01 08:00:00
15,Fine Screens,2024-01-01 09:00:00
15,Primary Clarifiers,2024-01-01 10:00:00
15,Sludge Grinder,2024-01-01 11:00:00
15,Blend Tank,2024-01-01 12:00:00
15,Anaerobic Digester,2024-01-01 13:00:00
16,Coarse Screens,2024-01-01 08:00:00
