activity,lifecycle:transition,timestamp,case
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_166
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_166
Fine Screens,start,1969-12-31 16:35:00+00:00,case_166
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_166
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_166
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_166
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_166
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_166
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_640
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_640
Fine Screens,start,1969-12-31 16:35:00+00:00,case_640
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_640
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_640
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_640
Bio-reactor Tanks,start,1969-12-31 17:51:00+00:00,case_640
Bio-reactor Tanks,complete,1969-12-31 18:41:00+00:00,case_640
Gravity Thickening,start,1969-12-31 18:51:00+00:00,case_640
Gravity Thickening,complete,1969-12-31 19:31:00+00:00,case_640
Blend Tank,start,1969-12-31 19:34:00+00:00,case_640
Blend Tank,complete,1969-12-31 20:44:00+00:00,case_640
Anaerobic Digester,start,1969-12-31 20:59:00+00:00,case_640
Anaerobic Digester,complete,1969-12-31 21:29:00+00:00,case_640
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_754
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_754
Fine Screens,start,1969-12-31 16:35:00+00:00,case_754
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_754
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_754
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_754
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_754
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_754
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_999
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_999
Fine Screens,start,1969-12-31 16:35:00+00:00,case_999
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_999
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_999
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_999
Bio-reactor Tanks,start,1969-12-31 17:51:00+00:00,case_999
Bio-reactor Tanks,complete,1969-12-31 18:41:00+00:00,case_999
Final Clarifier,start,1969-12-31 18:51:00+00:00,case_999
Final Clarifier,complete,1969-12-31 19:21:00+00:00,case_999
Chlorine Contact Basin,start,1969-12-31 19:26:00+00:00,case_999
Chlorine Contact Basin,complete,1969-12-31 19:56:00+00:00,case_999
Pond,start,1969-12-31 20:01:00+00:00,case_999
Pond,complete,1969-12-31 20:21:00+00:00,case_999
De-chlorination Pond,start,1969-12-31 20:31:00+00:00,case_999
De-chlorination Pond,complete,1969-12-31 21:11:00+00:00,case_999
Effluent Pumping Station,start,1969-12-31 21:31:00+00:00,case_999
Effluent Pumping Station,complete,1969-12-31 22:21:00+00:00,case_999
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_373
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_373
Fine Screens,start,1969-12-31 16:35:00+00:00,case_373
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_373
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_373
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_373
Bio-reactor Tanks,start,1969-12-31 17:51:00+00:00,case_373
Bio-reactor Tanks,complete,1969-12-31 18:41:00+00:00,case_373
Bio-reactor Tanks,start,1969-12-31 18:51:00+00:00,case_373
Bio-reactor Tanks,complete,1969-12-31 19:41:00+00:00,case_373
Gravity Thickening,start,1969-12-31 19:51:00+00:00,case_373
Gravity Thickening,complete,1969-12-31 20:31:00+00:00,case_373
Blend Tank,start,1969-12-31 20:34:00+00:00,case_373
Blend Tank,complete,1969-12-31 21:44:00+00:00,case_373
Anaerobic Digester,start,1969-12-31 21:59:00+00:00,case_373
Anaerobic Digester,complete,1969-12-31 22:29:00+00:00,case_373
Storage Tank,start,1969-12-31 22:44:00+00:00,case_373
Storage Tank,complete,1969-12-31 23:29:00+00:00,case_373
Disposal to Landfill,start,1969-12-31 23:34:00+00:00,case_373
Disposal to Landfill,complete,1969-12-31 23:54:00+00:00,case_373
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_288
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_288
Fine Screens,start,1969-12-31 16:35:00+00:00,case_288
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_288
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_288
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_288
Sludge Grinder,start,1969-12-31 17:51:00+00:00,case_288
Sludge Grinder,complete,1969-12-31 18:26:00+00:00,case_288
Blend Tank,start,1969-12-31 18:33:00+00:00,case_288
Blend Tank,complete,1969-12-31 19:43:00+00:00,case_288
Anaerobic Digester,start,1969-12-31 19:58:00+00:00,case_288
