activity,lifecycle:transition,timestamp,case
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_3217
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_3217
Fine Screens,start,1969-12-31 16:35:00+00:00,case_3217
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_3217
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_3217
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_3217
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_3217
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_3217
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_577
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_577
Fine Screens,start,1969-12-31 16:35:00+00:00,case_577
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_577
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_577
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_577
Bio-reactor Tanks,start,1969-12-31 17:51:00+00:00,case_577
Bio-reactor Tanks,complete,1969-12-31 18:41:00+00:00,case_577
Dissolved-Air Flotation Thickening,start,1969-12-31 18:51:00+00:00,case_577
Dissolved-Air Flotation Thickening,complete,1969-12-31 20:11:00+00:00,case_577
Blend Tank,start,1969-12-31 20:31:00+00:00,case_577
Blend Tank,complete,1969-12-31 21:41:00+00:00,case_577
Anaerobic Digester,start,1969-12-31 21:56:00+00:00,case_577
Anaerobic Digester,complete,1969-12-31 22:26:00+00:00,case_577
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_1383
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_1383
Fine Screens,start,1969-12-31 16:35:00+00:00,case_1383
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_1383
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_1383
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_1383
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_1383
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_1383
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_3662
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_3662
Fine Screens,start,1969-12-31 16:35:00+00:00,case_3662
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_3662
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_3662
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_3662
Sludge Grinder,start,1969-12-31 17:51:00+00:00,case_3662
Sludge Grinder,complete,1969-12-31 18:26:00+00:00,case_3662
Blend Tank,start,1969-12-31 18:33:00+00:00,case_3662
Blend Tank,complete,1969-12-31 19:43:00+00:00,case_3662
Anaerobic Digester,start,1969-12-31 19:58:00+00:00,case_3662
Anaerobic Digester,complete,1969-12-31 20:28:00+00:00,case_3662
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_4372
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_4372
Fine Screens,start,1969-12-31 16:35:00+00:00,case_4372
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_4372
Primary Clarifiers,start,1969-12-31 17:21:00+00:00,case_4372
Primary Clarifiers,complete,1969-12-31 17:41:00+00:00,case_4372
Sludge Grinder,start,1969-12-31 17:51:00+00:00,case_4372
Sludge Grinder,complete,1969-12-31 18:26:00+00:00,case_4372
Blend Tank,start,1969-12-31 18:33:00+00:00,case_4372
Blend Tank,complete,1969-12-31 19:43:00+00:00,case_4372
Anaerobic Digester,start,1969-12-31 19:58:00+00:00,case_4372
Anaerobic Digester,complete,1969-12-31 20:28:00+00:00,case_4372
Storage Tank,start,1969-12-31 20:43:00+00:00,case_4372
Storage Tank,complete,1969-12-31 21:28:00+00:00,case_4372
Disposal to Landfill,start,1969-12-31 21:33:00+00:00,case_4372
Disposal to Landfill,complete,1969-12-31 21:53:00+00:00,case_4372
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_447
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_447
Fine Screens,start,1969-12-31 16:35:00+00:00,case_447
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_447
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_447
Compacted Screenings,complete,1969-12-31 17:51:00+00:00,case_447
Disposal to Landfill,start,1969-12-31 17:56:00+00:00,case_447
Disposal to Landfill,complete,1969-12-31 18:16:00+00:00,case_447
Coarse Screens,start,1969-12-31 16:00:00+00:00,case_964
Coarse Screens,complete,1969-12-31 16:30:00+00:00,case_964
Fine Screens,start,1969-12-31 16:35:00+00:00,case_964
Fine Screens,complete,1969-12-31 17:15:00+00:00,case_964
Compacted Screenings,start,1969-12-31 17:21:00+00:00,case_964
