activity,timestamp,case
Coarse Screens,1969-12-31 16:00:00+00:00,case_6873
Fine Screens,1969-12-31 17:00:00+00:00,case_6873
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_6873
Bio-reactor Tanks,1969-12-31 19:00:00+00:00,case_6873
Dissolved-Air Flotation Thickening,1969-12-31 20:00:00+00:00,case_6873
Blend Tank,1969-12-31 21:00:00+00:00,case_6873
Anaerobic Digester,1969-12-31 22:00:00+00:00,case_6873
Storage Tank,1969-12-31 23:00:00+00:00,case_6873
Disposal to Landfill,1970-01-01 00:00:00+00:00,case_6873
Coarse Screens,1969-12-31 16:00:00+00:00,case_9998
Fine Screens,1969-12-31 17:00:00+00:00,case_9998
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_9998
Sludge Grinder,1969-12-31 19:00:00+00:00,case_9998
Blend Tank,1969-12-31 20:00:00+00:00,case_9998
Anaerobic Digester,1969-12-31 21:00:00+00:00,case_9998
Coarse Screens,1969-12-31 16:00:00+00:00,case_4633
Fine Screens,1969-12-31 17:00:00+00:00,case_4633
Compacted Screenings,1969-12-31 18:00:00+00:00,case_4633
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_4633
Coarse Screens,1969-12-31 16:00:00+00:00,case_9656
Fine Screens,1969-12-31 17:00:00+00:00,case_9656
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_9656
Bio-reactor Tanks,1969-12-31 19:00:00+00:00,case_9656
Bio-reactor Tanks,1969-12-31 20:00:00+00:00,case_9656
Bio-reactor Tanks,1969-12-31 21:00:00+00:00,case_9656
Bio-reactor Tanks,1969-12-31 22:00:00+00:00,case_9656
Dissolved-Air Flotation Thickening,1969-12-31 23:00:00+00:00,case_9656
Blend Tank,1970-01-01 00:00:00+00:00,case_9656
Anaerobic Digester,1970-01-01 01:00:00+00:00,case_9656
Storage Tank,1970-01-01 02:00:00+00:00,case_9656
Disposal to Landfill,1970-01-01 03:00:00+00:00,case_9656
Coarse Screens,1969-12-31 16:00:00+00:00,case_9090
Fine Screens,1969-12-31 17:00:00+00:00,case_9090
Compacted Screenings,1969-12-31 18:00:00+00:00,case_9090
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_9090
Coarse Screens,1969-12-31 16:00:00+00:00,case_6065
Fine Screens,1969-12-31 17:00:00+00:00,case_6065
Compacted Screenings,1969-12-31 18:00:00+00:00,case_6065
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_6065
Coarse Screens,1969-12-31 16:00:00+00:00,case_5968
Fine Screens,1969-12-31 17:00:00+00:00,case_5968
Compacted Screenings,1969-12-31 18:00:00+00:00,case_5968
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_5968
Coarse Screens,1969-12-31 16:00:00+00:00,case_5298
Fine Screens,1969-12-31 17:00:00+00:00,case_5298
Compacted Screenings,1969-12-31 18:00:00+00:00,case_5298
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_5298
Coarse Screens,1969-12-31 16:00:00+00:00,case_5709
Fine Screens,1969-12-31 17:00:00+00:00,case_5709
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_5709
Sludge Grinder,1969-12-31 19:00:00+00:00,case_5709
Blend Tank,1969-12-31 20:00:00+00:00,case_5709
Anaerobic Digester,1969-12-31 21:00:00+00:00,case_5709
Coarse Screens,1969-12-31 16:00:00+00:00,case_2993
Fine Screens,1969-12-31 17:00:00+00:00,case_2993
Compacted Screenings,1969-12-31 18:00:00+00:00,case_2993
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_2993
Coarse Screens,1969-12-31 16:00:00+00:00,case_975
Fine Screens,1969-12-31 17:00:00+00:00,case_975
Compacted Screenings,1969-12-31 18:00:00+00:00,case_975
Disposal to Landfill,1969-12-31 19:00:00+00:00,case_975
Coarse Screens,1969-12-31 16:00:00+00:00,case_3317
Fine Screens,1969-12-31 17:00:00+00:00,case_3317
Primary Clarifiers,1969-12-31 18:00:00+00:00,case_3317
Bio-reactor Tanks,1969-12-31 19:00:00+00:00,case_3317
Bio-reactor Tanks,1969-12-31 20:00:00+00:00,case_3317
Dissolved-Air Flotation Thickening,1969-12-31 21:00:00+00:00,case_3317
Blend Tank,1969-12-31 22:00:00+00:00,case_3317
Anaerobic Digester,1969-12-31 23:00:00+00:00,case_3317
