case,activity,timestamp
1,Coarse Screens,2024-01-01 08:00:00
1,Fine Screens,2024-01-01 09:00:00
1,Primary Clarifiers,2024-01-01 10:00:00
1,Bio-reactor Tanks,2024-01-01 11:00:00
1,Gravity Thickening,2024-01-01 12:00:00
1,Blend Tank,2024-01-01 13:00:00
1,Anaerobic Digester,2024-01-01 14:00:00
2,Coarse Screens,2024-01-01 08:00:00
2,Fine Screens,2024-01-01 09:00:00
2,Primary Clarifiers,2024-01-01 10:00:00
2,Bio-reactor Tanks,2024-01-01 11:00:00
2,Gravity Thickening,2024-01-01 12:00:00
2,Blend Tank,2024-01-01 13:00:00
2,Anaerobic Digester,2024-01-01 14:00:00
3,Coarse Screens,2024-01-01 08:00:00
3,Fine Screens,2024-01-01 09:00:00
3,Primary Clarifiers,2024-01-01 10:00:00
3,Bio-reactor Tanks,2024-01-01 11:00:00
3,Gravity Thickening,2024-01-01 12:00:00
3,Blend Tank,2024-01-01 13:00:00
3,Anaerobic Digester,2024-01-01 14:00:00
4,Coarse Screens,2024-01-01 08:00:00
4,Fine Screens,2024-01-01 09:00:00
4,Primary Clarifiers,2024-01-01 10:00:00
4,Bio-reactor Tanks,2024-01-01 11:00:00
4,Gravity Thickening,2024-01-01 12:00:00
4,Blend Tank,2024-01-01 13:00:00
4,Anaerobic Digester,2024-01-01 14:00:00
5,Coarse Screens,2024-01-01 08:00:00
5,Fine Screens,2024-01-01 09:00:00
5,Primary Clarifiers,2024-01-01 10:00:00
5,Bio-reactor Tanks,2024-01-01 11:00:00
5,Gravity Thickening,2024-01-01 12:00:00
5,Blend Tank,2024-01-01 13:00:00
5,Anaerobic Digester,2024-01-01 14:00:00
6,Coarse Screens,2024-01-01 08:00:00
6,Fine Screens,2024-01-01 09:00:00
6,Primary Clarifiers,2024-01-01 10:00:00
6,Bio-reactor Tanks,2024-01-01 11:00:00
6,Gravity Thickening,2024-01-01 12:00:00
6,Blend Tank,2024-01-01 13:00:00
6,Anaerobic Digester,2024-01-01 14:00:00
7,Coarse Screens,2024-01-01 08:00:00
7,Fine Screens,2024-01-01 09:00:00
7,Primary Clarifiers,2024-01-01 10:00:00
7,Bio-reactor Tanks,2024-01-01 11:00:00
7,Gravity Thickening,2024-01-01 12:00:00
7,Blend Tank,2024-01-01 13:00:00
7,Anaerobic Digester,2024-01-01 14:00:00
8,Coarse Screens,2024-01-01 08:00:00
8,Fine Screens,2024-01-01 09:00:00
8,Primary Clarifiers,2024-01-01 10:00:00
8,Bio-reactor Tanks,2024-01-01 11:00:00
8,Gravity Thickening,2024-01-01 12:00:00
8,Blend Tank,2024-01-01 13:00:00
8,Anaerobic Digester,2024-01-01 14:00:00
9,Coarse Screens,2024-01-01 08:00:00
9,Fine Screens,2024-01-01 09:00:00
9,Primary Clarifiers,2024-01-01 10:00:00
9,Bio-reactor Tanks,2024-01-01 11:00:00
9,Gravity Thickening,2024-01-01 12:00:00
9,Blend Tank,2024-01-01 13:00:00
9,Anaerobic Digester,2024-01-01 14:00:00
10,Coarse Screens,2024-01-01 08:00:00
10,Fine Screens,2024-01-01 09:00:00
10,Primary Clarifiers,2024-01-01 10:00:00
10,Bio-reactor Tanks,2024-01-01 11:00:00
10,Gravity Thickening,2024-01-01 12:00:00
10,Blend Tank,2024-01-01 13:00:00
10,Anaerobic Digester,2024-01-01 14:00:00
11,Coarse Screens,2024-01-01 08:00:00
11,Fine Screens,2024-01-01 09:00:00
11,Primary Clarifiers,2024-01-01 10:00:00
11,Bio-reactor Tanks,2024-01-01 11:00:00
11,Gravity Thickening,2024-01-01 12:00:00
11,Blend Tank,2024-01-01 13:00:00
11,Anaerobic Digester,2024-01-01 14:00:00
12,Coarse Screens,2024-01-01 08:00:00
12,Fine Screens,2024-01-01 09:00:00
12,Primary Clarifiers,2024-01-01 10:00:00
12,Bio-reactor Tanks,2024-01-01 11:00:00
12,Gravity Thickening,2024-01-01 12:00:00
12,Blend Tank,2024-01-01 13:00:00
12,Anaerobic Digester,2024-01-01 14:00:00
13,Coarse Screens,2024-01-01 08:00:00
13,Fine Screens,2024-01-01 09:00:00
13,Primary Clarifiers,2024-01-01 10:00:00
13,Bio-reactor Tanks,2024-01-01 11:00:00
13,Gravity Thickening,2024-01-01 12:00:00
