trace_index,baseline_trace,n,avg_no,avg_with,gain,x,y
0,0 6 0 6 0 6 0 6 7,6,0.32983333333333337,0.4965,0.16666666666666663,53.597435,216.01103
1,0 6 7 0 6 7 0 6 7 0 6 7 0 6 7 0 1 3 4 5,19,0.522578947368421,0.5664736842105264,0.04389473684210532,16.624517,283.63333
2,0 6 0 1 3 4 5,12,0.7765833333333333,0.8094166666666666,0.03283333333333327,-133.4643,-116.112915
3,0 6 0 7 0 1 3 4 5,8,0.73525,0.7575000000000001,0.022250000000000103,-171.90698,-23.680239
4,0 1 2 9 7 0 1 2 3 4 5,40,0.8011250000000001,0.8219,0.020774999999999877,-18.652695,100.396736
5,0 6 7 0 6 7 0 1 3 4 5,30,0.779,0.7922999999999999,0.013299999999999867,-126.02042,123.20992
6,0 1 3 4 5,4968,0.9529363929146538,0.9620380434782608,0.009101650563607011,-1.7972602,-104.09695
7,0 1 14 7 0 1 2 3 4 5,34,0.7815000000000001,0.7899117647058823,0.00841176470588223,-63.918335,-5.2274203
8,0 6 7 0 1 2 3 4 5,360,0.8586972222222221,0.8653444444444445,0.00664722222222236,-102.26992,-66.796036
9,0 6 7 0 1 3 4 5,665,0.8823308270676692,0.8886781954887218,0.006347368421052657,-148.1528,-65.35044
10,0 1 15 16 4 5,45,0.7888888888888889,0.7928888888888889,0.0040000000000000036,29.213524,-252.31651
11,0 1 2 3 4 5,3580,0.9364122905027934,0.939586033519553,0.003173743016759656,-13.620638,-161.16273
12,0 1 9 7 0 1 2 3 4 5,107,0.7750841121495327,0.77796261682243,0.0028785046728972974,-24.495922,49.67359
13,0 1 9 7 0 1 3 4 5,55,0.8257454545454547,0.8273999999999999,0.001654545454545242,-72.90552,54.56417
14,0 1 13 5,3,0.4346666666666667,0.4346666666666667,0.0,104.09601,-116.333595
15,0 1 2 15 16 4 5,12,0.729,0.729,0.0,50.639496,-219.86401
16,0 1 2 3 5,4,0.56175,0.56175,0.0,45.194744,-146.95778
17,0 1 2 3 5 4,4,0.4795,0.4795,0.0,-13.620638,-161.16273
18,0 1 2 9,4,0.161,0.161,0.0,137.85152,-48.203304
19,0 1 2 9 7 0 1 3 4 5,27,0.7328148148148149,0.7328148148148149,0.0,-24.495922,49.67359
20,0 1 2 9 7 0 6 7 0 1 3 4 5,12,0.7158333333333333,0.7158333333333333,0.0,-198.14865,91.95049
21,0 1 3 5 4,3,0.49633333333333335,0.49633333333333335,0.0,-1.7972602,-104.09695
22,0 1 9 0 1 3 5,6,0.48550000000000004,0.48550000000000004,0.0,17.15252,-10.651709
23,0 6,2,0.1665,0.1665,0.0,149.93661,44.50282
24,0 6 0 1 2 3 4 5,7,0.934,0.934,0.0,-86.82435,-113.87185
25,0 6 0 6 0 6 0 6 0 6 7,7,0.43514285714285716,0.43514285714285716,0.0,16.652256,226.0286
26,0 6 0 6 7,4,0.65725,0.65725,0.0,160.91978,130.03589
27,0 6 0 7 0 6 7,6,0.46883333333333327,0.46883333333333327,0.0,116.790535,178.19444
28,0 6 7 0 1 15 16 4 5,8,0.6595,0.6595,0.0,102.92418,-272.33377
29,0 6 7 0 1 17,6,0.23850000000000002,0.23850000000000002,0.0,212.65805,107.63599
30,0 6 7 0 1 2 15 16 4 5,18,0.6495000000000001,0.6495000000000001,0.0,117.76502,-238.4555
31,0 6 7 0 1 9 7 0 1 2 3 4 5,24,0.7474166666666666,0.7474166666666666,0.0,-198.14865,91.95049
32,0 6 7 0 6 0 1 2 0 1 2 3 4 5,13,0.6040769230769231,0.6040769230769231,0.0,-215.60379,160.5135
33,0 6 7 0 6 7,20,0.619,0.619,0.0,117.44492,134.50464
34,0 6 7 0 6 7 0 1 2 3 4 5,11,0.7288181818181818,0.7288181818181818,0.0,-157.54977,152.66368
35,0 1 14 7,18,0.30927777777777776,0.3085,-0.0007777777777777661,225.6341,0.7345035
36,0 6 7,252,0.9984126984126984,0.9965992063492064,-0.001813492063492017,183.57857,64.84908
37,0 1 2 9 7,15,0.3584666666666667,0.35459999999999997,-0.0038666666666667404,179.48607,-61.04914
38,0 1 9 7,20,0.20115,0.1947,-0.0064499999999999835,184.87675,-19.992855
39,0 1 14 7 0 1 3 4 5,32,0.75953125,0.7525625,-0.006968749999999968,-102.11766,8.345202
40,0 1 2 9 0 1 3,7,0.2834285714285714,0.27342857142857147,-0.009999999999999953,53.29807,15.702934
41,0 1 3 5,3,0.5776666666666667,0.549,-0.028666666666666618,54.376366,-97.213646
42,0 6 7 0 1 14 7 0 1 3 4 5,11,0.5881818181818183,0.5587272727272727,-0.02945454545454551,-159.25418,46.277336
