trace_index,baseline_trace,avg_no,avg_with,gain,n,avg_prefix_len,baseline_len
0,0 5 3 1 0 8 28 5 25 0 8 9 10 12 3 5 5 24 0 5 0 27 0 30 5 12 5 10 7 4 24 3 6 13 8 14 5 15 5 16 0 4 6 8 7 12 10 19 20 31 23,0.45126,0.9057,0.45443999999999996,50,25.5,51.0
1,0 1 10 12 7 13 14 15 0 25 12 3 5 7 10 35 6 8 13 14 13 14 16 0 7 5 0 5 0 5 8 27 17 19 18 5 20 21 5 19 20 21 5 0 19 5 20 31 23,0.48616666666666664,0.9389791666666666,0.45281249999999995,48,24.5,49.0
2,0 17 5 0 5 25 1 8 3 0 11 5 6 8 0 4 5 3 25 28 11 27 33 24 5 7 5 9 10 5 0 6 5 4 26 0 10 13 5 14 16 0 7 0 1 19 20 31 23,0.36947916666666664,0.8055,0.43602083333333336,48,24.5,49.0
3,0 5 9 7 10 12 0 5 10 27 35 6 34 0 1 7 12 25 5 5 10 32 33 5 11 8 35 6 0 3 5 35 6 8 10 5 7 5 12 17 18 5 30 13 29 14 16 0 7 35 8 6 4 26 19 20 31 23,0.4134912280701754,0.8391228070175438,0.4256315789473684,57,29.0,58.0
4,0 26 8 7 6 28 33 25 10 12 1 5 13 2 3 14 24 16 0 3 5 9 7 0 8 7 5 12 10 0 27 5 10 12 19 20 31 5 23,0.42589473684210527,0.8493421052631579,0.42344736842105263,38,19.5,39.0
5,0 6 5 12 7 5 0 5 5 6 1 4 3 24 5 0 1 5 4 5 26 17 35 8 6 5 0 5 12 25 28 33 5 0 5 12 24 27 3 7 5 6 8 0 12 35 8 6 10 26 13 5 14 5 16 0 0 29 19 20 31 23,0.42454098360655734,0.8465573770491803,0.422016393442623,61,31.0,62.0
6,0 25 0 12 17 5 10 5 18 11 0 4 5 24 3 0 5 7 4 5 0 27 5 1 12 5 3 5 10 24 13 5 14 15 13 14 15 16 0 12 10 19 20 31 5 0 25 1 3 6 19 8 20 31 23,0.5347407407407407,0.9557777777777778,0.4210370370370371,54,27.5,55.0
7,0 12 0 5 0 0 5 1 2 3 0 5 7 6 26 5 4 8 5 0 10 5 5 6 17 5 8 27 30 32 34 13 14 16 0 6 12 7 10 0 8 10 19 12 20 7 21 23,0.47648936170212763,0.8958085106382979,0.4193191489361703,47,24.0,48.0
8,0 3 10 12 1 5 0 7 4 35 8 26 0 24 6 12 7 5 10 13 14 15 13 14 16 0 5 0 6 5 7 17 10 5 12 28 5 25 33 11 0 0 3 33 19 11 20 5 5 31 19 5 20 31 23,0.43383333333333335,0.8527777777777777,0.4189444444444444,54,27.5,55.0
9,0 7 4 26 10 12 34 3 6 8 0 12 3 24 1 7 5 10 11 32 33 13 14 16 0 10 2 3 24 17 5 18 25 28 1 4 8 26 19 20 21 23,0.46204878048780484,0.8797317073170733,0.41768292682926844,41,21.0,42.0
10,0 17 5 0 8 29 5 30 0 8 5 1 2 3 5 0 7 1 5 3 29 5 35 8 30 0 12 5 1 35 6 3 5 0 5 4 3 6 5 8 17 13 14 16 0 8 5 27 34 0 1 5 0 12 19 5 5 20 21 23,0.500406779661017,0.9144237288135594,0.4140169491525424,59,30.0,60.0
11,0 1 7 10 0 1 10 12 4 26 0 1 6 12 7 10 3 24 4 5 13 26 14 15 16 0 8 5 28 25 0 0 0 7 17 5 19 20 5 31 23,0.4577,0.86485,0.40715,40,20.5,41.0
12,0 25 1 12 7 33 4 11 0 8 11 5 33 9 7 3 12 26 10 4 13 14 16 0 10 7 6 1 8 2 3 5 19 24 20 31 23,0.4925,0.8976111111111111,0.40511111111111114,36,18.5,37.0
13,0 26 8 10 34 6 7 28 25 5 1 12 3 13 24 14 15 13 14 16 0 10 29 8 30 19 20 22 0 3 19 20 31 23,0.47042424242424247,0.8734242424242424,0.40299999999999997,33,17.0,34.0
