case,activity,timestamp
1,Coarse Screens,2024-01-01 08:00:00
1,Fine Screens,2024-01-01 09:00:00
1,Compacted Screenings,2024-01-01 10:00:00
1,Disposal to Landfill,2024-01-01 11:00:00
2,Coarse Screens,2024-01-01 08:00:00
2,Fine Screens,2024-01-01 09:00:00
2,Compacted Screenings,2024-01-01 10:00:00
2,Disposal to Landfill,2024-01-01 11:00:00
3,Coarse Screens,2024-01-01 08:00:00
3,Fine Screens,2024-01-01 09:00:00
3,Compacted Screenings,2024-01-01 10:00:00
3,Disposal to Landfill,2024-01-01 11:00:00
4,Coarse Screens,2024-01-01 08:00:00
4,Fine Screens,2024-01-01 09:00:00
4,Compacted Screenings,2024-01-01 10:00:00
4,Disposal to Landfill,2024-01-01 11:00:00
5,Coarse Screens,2024-01-01 08:00:00
5,Fine Screens,2024-01-01 09:00:00
5,Compacted Screenings,2024-01-01 10:00:00
5,Disposal to Landfill,2024-01-01 11:00:00
6,Coarse Screens,2024-01-01 08:00:00
6,Fine Screens,2024-01-01 09:00:00
6,Compacted Screenings,2024-01-01 10:00:00
6,Disposal to Landfill,2024-01-01 11:00:00
7,Coarse Screens,2024-01-01 08:00:00
7,Fine Screens,2024-01-01 09:00:00
7,Compacted Screenings,2024-01-01 10:00:00
7,Disposal to Landfill,2024-01-01 11:00:00
8,Coarse Screens,2024-01-01 08:00:00
8,Fine Screens,2024-01-01 09:00:00
8,Compacted Screenings,2024-01-01 10:00:00
8,Disposal to Landfill,2024-01-01 11:00:00
9,Coarse Screens,2024-01-01 08:00:00
9,Fine Screens,2024-01-01 09:00:00
9,Compacted Screenings,2024-01-01 10:00:00
9,Disposal to Landfill,2024-01-01 11:00:00
10,Coarse Screens,2024-01-01 08:00:00
10,Fine Screens,2024-01-01 09:00:00
10,Compacted Screenings,2024-01-01 10:00:00
10,Disposal to Landfill,2024-01-01 11:00:00
11,Coarse Screens,2024-01-01 08:00:00
11,Fine Screens,2024-01-01 09:00:00
11,Compacted Screenings,2024-01-01 10:00:00
11,Disposal to Landfill,2024-01-01 11:00:00
12,Coarse Screens,2024-01-01 08:00:00
12,Fine Screens,2024-01-01 09:00:00
12,Compacted Screenings,2024-01-01 10:00:00
12,Disposal to Landfill,2024-01-01 11:00:00
13,Coarse Screens,2024-01-01 08:00:00
13,Fine Screens,2024-01-01 09:00:00
13,Compacted Screenings,2024-01-01 10:00:00
13,Disposal to Landfill,2024-01-01 11:00:00
14,Coarse Screens,2024-01-01 08:00:00
14,Fine Screens,2024-01-01 09:00:00
14,Compacted Screenings,2024-01-01 10:00:00
14,Disposal to Landfill,2024-01-01 11:00:00
15,Coarse Screens,2024-01-01 08:00:00
15,Fine Screens,2024-01-01 09:00:00
15,Compacted Screenings,2024-01-01 10:00:00
15,Disposal to Landfill,2024-01-01 11:00:00
16,Coarse Screens,2024-01-01 08:00:00
16,Fine Screens,2024-01-01 09:00:00
16,Compacted Screenings,2024-01-01 10:00:00
16,Disposal to Landfill,2024-01-01 11:00:00
17,Coarse Screens,2024-01-01 08:00:00
17,Fine Screens,2024-01-01 09:00:00
17,Compacted Screenings,2024-01-01 10:00:00
17,Disposal to Landfill,2024-01-01 11:00:00
18,Coarse Screens,2024-01-01 08:00:00
18,Fine Screens,2024-01-01 09:00:00
18,Compacted Screenings,2024-01-01 10:00:00
18,Disposal to Landfill,2024-01-01 11:00:00
19,Coarse Screens,2024-01-01 08:00:00
19,Fine Screens,2024-01-01 09:00:00
19,Compacted Screenings,2024-01-01 10:00:00
19,Disposal to Landfill,2024-01-01 11:00:00
20,Coarse Screens,2024-01-01 08:00:00
20,Fine Screens,2024-01-01 09:00:00
20,Compacted Screenings,2024-01-01 10:00:00
20,Disposal to Landfill,2024-01-01 11:00:00
21,Coarse Screens,2024-01-01 08:00:00
21,Fine Screens,2024-01-01 09:00:00
21,Compacted Screenings,2024-01-01 10:00:00
21,Disposal to Landfill,2024-01-01 11:00:00
22,Coarse Screens,2024-01-01 08:00:00
22,Fine Screens,2024-01-01 09:00:00
22,Compacted Screenings,2024-01-01 10:00:00
22,Disposal to Landfill,2024-01-01 11:00:00
23,Coarse Screens,2024-01-01 08:00:00
23,Fine Screens,2024-01-01 09:00:00
23,Compacted Screenings,2024-01-01 10:00:00
