case,activity,timestamp
1,Coarse Screens,2024-01-01 08:00:00
1,Fine Screens,2024-01-01 09:00:00
1,Compacted Screenings,2024-01-01 10:00:00
1,Disposal to Landfill,2024-01-01 11:00:00
2,Coarse Screens,2024-01-01 08:00:00
2,Fine Screens,2024-01-01 09:00:00
2,Primary Clarifiers,2024-01-01 10:00:00
2,Sludge Grinder,2024-01-01 11:00:00
2,Blend Tank,2024-01-01 12:00:00
2,Anaerobic Digester,2024-01-01 13:00:00
2,Storage Tank,2024-01-01 14:00:00
2,Disposal to Landfill,2024-01-01 15:00:00
3,Coarse Screens,2024-01-01 08:00:00
3,Fine Screens,2024-01-01 09:00:00
3,Compacted Screenings,2024-01-01 10:00:00
3,Disposal to Landfill,2024-01-01 11:00:00
4,Coarse Screens,2024-01-01 08:00:00
4,Fine Screens,2024-01-01 09:00:00
4,Primary Clarifiers,2024-01-01 10:00:00
4,Bio-reactor Tanks,2024-01-01 11:00:00
4,Final Clarifier,2024-01-01 12:00:00
4,Chlorine Contact Basin,2024-01-01 13:00:00
4,Pond,2024-01-01 14:00:00
4,De-chlorination Pond,2024-01-01 15:00:00
4,Cascade Aerator,2024-01-01 16:00:00
5,Coarse Screens,2024-01-01 08:00:00
5,Fine Screens,2024-01-01 09:00:00
5,Compacted Screenings,2024-01-01 10:00:00
5,Disposal to Landfill,2024-01-01 11:00:00
6,Coarse Screens,2024-01-01 08:00:00
6,Fine Screens,2024-01-01 09:00:00
6,Compacted Screenings,2024-01-01 10:00:00
6,Disposal to Landfill,2024-01-01 11:00:00
7,Coarse Screens,2024-01-01 08:00:00
7,Fine Screens,2024-01-01 09:00:00
7,Primary Clarifiers,2024-01-01 10:00:00
7,Bio-reactor Tanks,2024-01-01 11:00:00
7,Wastewater Centrifuge De-watering Thickening,2024-01-01 12:00:00
7,Blend Tank,2024-01-01 13:00:00
7,Anaerobic Digester,2024-01-01 14:00:00
8,Coarse Screens,2024-01-01 08:00:00
8,Fine Screens,2024-01-01 09:00:00
8,Primary Clarifiers,2024-01-01 10:00:00
8,Bio-reactor Tanks,2024-01-01 11:00:00
8,Final Clarifier,2024-01-01 12:00:00
8,Chlorine Contact Basin,2024-01-01 13:00:00
8,Pond,2024-01-01 14:00:00
8,De-chlorination Pond,2024-01-01 15:00:00
8,Cascade Aerator,2024-01-01 16:00:00
9,Coarse Screens,2024-01-01 08:00:00
9,Fine Screens,2024-01-01 09:00:00
9,Compacted Screenings,2024-01-01 10:00:00
9,Disposal to Landfill,2024-01-01 11:00:00
10,Coarse Screens,2024-01-01 08:00:00
10,Fine Screens,2024-01-01 09:00:00
10,Primary Clarifiers,2024-01-01 10:00:00
10,Bio-reactor Tanks,2024-01-01 11:00:00
10,Final Clarifier,2024-01-01 12:00:00
10,Chlorine Contact Basin,2024-01-01 13:00:00
10,Pond,2024-01-01 14:00:00
10,De-chlorination Pond,2024-01-01 15:00:00
10,Effluent Pumping Station,2024-01-01 16:00:00
11,Coarse Screens,2024-01-01 08:00:00
11,Fine Screens,2024-01-01 09:00:00
11,Primary Clarifiers,2024-01-01 10:00:00
11,Bio-reactor Tanks,2024-01-01 11:00:00
11,Final Clarifier,2024-01-01 12:00:00
11,Chlorine Contact Basin,2024-01-01 13:00:00
11,Pond,2024-01-01 14:00:00
11,De-chlorination Pond,2024-01-01 15:00:00
11,Cascade Aerator,2024-01-01 16:00:00
12,Coarse Screens,2024-01-01 08:00:00
12,Fine Screens,2024-01-01 09:00:00
12,Primary Clarifiers,2024-01-01 10:00:00
12,Sludge Grinder,2024-01-01 11:00:00
12,Blend Tank,2024-01-01 12:00:00
12,Anaerobic Digester,2024-01-01 13:00:00
13,Coarse Screens,2024-01-01 08:00:00
13,Fine Screens,2024-01-01 09:00:00
13,Primary Clarifiers,2024-01-01 10:00:00
13,Sludge Grinder,2024-01-01 11:00:00
13,Blend Tank,2024-01-01 12:00:00
13,Anaerobic Digester,2024-01-01 13:00:00
14,Coarse Screens,2024-01-01 08:00:00
14,Fine Screens,2024-01-01 09:00:00
14,Compacted Screenings,2024-01-01 10:00:00
14,Disposal to Landfill,2024-01-01 11:00:00
15,Coarse Screens,2024-01-01 08:00:00
15,Fine Screens,2024-01-01 09:00:00
